pp,age,sex,lang,cs_score,cns_score,ss_score,sns_score,cs_me,cns_me,ss_me,sns_me
1,30,1,3,4,2,3,2,7,1,1,1
2,20,1,3,6,6,5,5,3,9,4,5
3,33,2,3,4,3,5,5,6,7,5,5
4,32,1,2,4,4,6,6,6,7,3,6
5,18,2,5,5,4,4,8,6,5,6,4
6,34,1,5,6,7,7,10,7,9,4,5
7,25,1,3,5,2,8,7,7,8,3,4
8,22,2,5,4,5,5,3,6,6,8,7
9,53,2,5,7,6,6,10,3,5,3,4
10,41,2,5,4,3,7,7,7,8,7,6
11,25,1,5,6,2,8,7,7,7,8,7
12,,,1,4,5,4,5,2,2,2,2
13,31,1,2,6,7,7,10,3,4,3,4
14,28,2,5,6,5,4,5,9,9,8,9
15,31,2,4,2,1,2,2,5,4,4,6
16,24,2,5,7,4,8,10,2,4,1,1
17,20,1,2,3,2,3,2,5,5,5,3
18,25,1,3,2,4,4,3,6,7,4,8
19,21,1,5,2,1,5,8,6,6,2,3
20,25,2,5,5,3,7,9,9,8,3,5
21,28,1,5,8,6,8,9,4,6,3,4
22,20,1,1,2,1,4,4,6,6,7,7
23,19,2,5,3,8,7,9,8,9,7,5
24,20,2,4,5,4,6,5,5,6,5,4
25,18,1,4,4,3,6,2,7,7,5,8
26,27,1,4,7,5,7,9,7,7,6,6
27,28,1,5,5,3,8,6,3,5,5,6
28,18,1,2,4,3,5,2,5,5,5,5
29,51,1,3,2,5,4,4,6,8,6,7
30,27,1,5,8,7,7,9,3,6,4,5
31,41,2,4,3,2,4,4,2,9,9,4
32,26,2,5,7,8,4,7,1,2,8,4
33,30,2,3,3,1,1,1,2,9,9,7
34,25,2,4,4,1,4,3,1,1,1,1
35,25,1,3,3,3,2,5,7,8,6,6
36,25,2,5,8,10,7,8,3,5,6,4
37,38,1,4,7,8,5,4,8,8,8,6
38,32,2,5,8,10,6,7,2,3,3,4
39,26,1,4,5,4,3,6,6,5,7,7
40,25,2,5,6,8,6,6,3,4,5,7
41,36,1,4,6,7,4,7,6,7,8,7
42,41,1,2,4,2,1,3,6,9,6,4
43,36,1,2,1,2,2,5,6,8,7,6
44,43,2,5,6,7,4,8,6,8,7,7
45,29,1,3,3,6,2,6,4,4,8,5
46,34,2,1,3,5,1,3,2,2,2,2
47,24,1,4,5,5,2,4,2,2,2,3
48,36,2,3,6,7,8,8,2,3,3,1
49,20,1,1,4,3,2,0,6,6,5,7
50,18,1,4,4,4,4,2,6,9,4,8
51,31,2,1,7,10,6,6,7,8,8,8
52,,,5,4,4,4,3,5,4,5,5
53,20,2,3,7,8,5,5,6,3,9,8
54,29,1,2,8,4,6,8,4,6,5,5
55,26,2,5,8,10,7,7,2,3,5,6
